gid,pk,pk_vaw,pk_sgi,name_full,name_short
1167,8211f200-4ec8-11e8-9016-985fd331b2ee,NULL,A10g-09,Chlein Wintertälli,
1168,82139fb0-4ec8-11e8-b008-985fd331b2ee,NULL,A10g-12,Vernelagletscher,
1169,81ef9cf0-4ec8-11e8-afa2-985fd331b2ee,NULL,A12d-10,Ducangletscher,
1170,81f01221-4ec8-11e8-989d-985fd331b2ee,NULL,A12e-09,Vadret Üertsch West,
1171,81d7810f-4ec8-11e8-9279-985fd331b2ee,NULL,A12i-04,Piz d'Err,
1172,81c83ecf-4ec8-11e8-8f0f-985fd331b2ee,NULL,A13g-05,Vadrec da Gallagiun,
1173,81c5cdcf-4ec8-11e8-bcae-985fd331b2ee,NULL,A13g-07,Ghiacciaio del Pizzo Rosso,
1174,81c1af1e-4ec8-11e8-88de-985fd331b2ee,NULL,A13i-04,Surettalückli,
1175,8187da70-4ec8-11e8-9f01-985fd331b2ee,NULL,A14f-12,Glatscher da Valdraus,
1176,8173b630-4ec8-11e8-ae9a-985fd331b2ee,NULL,A14g-03,Glatscher da Puzzetta SW,
1177,816b78d1-4ec8-11e8-9bc8-985fd331b2ee,NULL,A14g-09,Glatscher da Casatscha,
1178,815aaff0-4ec8-11e8-bccb-985fd331b2ee,NULL,A14g-13,Lai Verd,
1179,8160ca70-4ec8-11e8-b939-985fd331b2ee,NULL,A14g-15,Piz Gierm NE,
1180,8162c640-4ec8-11e8-a0d8-985fd331b2ee,NULL,A14h-01,Glatscher da Puozas,
1181,df0ac524-7a05-11ec-90d6-0242ac120003,NULL,A50i-33,Griessli,
1182,df0ac768-7a05-11ec-90d6-0242ac120003,NULL,A50i-34,Griessloch,
1183,df0ac880-7a05-11ec-90d6-0242ac120003,NULL,A50i-39,Hintersulzlücke,
1184,df0ac98e-7a05-11ec-90d6-0242ac120003,NULL,A50i-40,Furkel W,
1185,df0ad05a-7a05-11ec-90d6-0242ac120003,NULL,A50j-04,Clariden,
1186,e350bc60-7a05-11ec-90d6-0242ac120003,NULL,B53-03,Egginer SW,
1187,7abb3c0c-74d0-11ea-bc55-0242ac130003,NULL,A50i-37,Bündner Tödi E,
1188,7abb3b26-74d0-11ea-bc55-0242ac130003,NULL,A50i-38,Bündner Tödi N,
1189,817786c0-4ec8-11e8-9d3f-985fd331b2ee,NULL,A50j-02,Roten Nossen,
1190,8176ea80-4ec8-11e8-8e6d-985fd331b2ee,NULL,A50j-03,Roten Pfaffen,
1191,8172a4c0-4ec8-11e8-8925-985fd331b2ee,NULL,A50j-05,Clariden Nordwand,
1192,81722f8f-4ec8-11e8-8842-985fd331b2ee,NULL,A50j-06,Im Griess,
1193,816ead21-4ec8-11e8-a0c2-985fd331b2ee,NULL,A50j-07,Iswändli,
1194,81862cc0-4ec8-11e8-be43-985fd331b2ee,NULL,A50j-09,Bös Fulen,
1195,81919e70-4ec8-11e8-a3dd-985fd331b2ee,NULL,A50j-10,Bächifirn,
1196,8192d6f0-4ec8-11e8-9639-985fd331b2ee,NULL,A50j-11,Bächifirn E,
1197,8196f59e-4ec8-11e8-81fd-985fd331b2ee,NULL,A50j-13,Guppenfirn E,
1198,8185b78f-4ec8-11e8-be88-985fd331b2ee,NULL,A50j-14,Ortstock NE,
1199,df0ad15e-7a05-11ec-90d6-0242ac120003,NULL,A50k-02,Vrenelisgärtli,
1200,df0ad2e4-7a05-11ec-90d6-0242ac120003,NULL,A50k-03,Schwander Grat,
1201,df0ad3f2-7a05-11ec-90d6-0242ac120003,NULL,A50k-05,Bächistock,
1202,df0ad5dc-7a05-11ec-90d6-0242ac120003,NULL,A50k-08,Hinter Gassenstock,
1203,8229e6cf-4ec8-11e8-9916-985fd331b2ee,NULL,A51b-01,Ortstock,
1204,818e430f-4ec8-11e8-b728-985fd331b2ee,NULL,A50k-07,Radtäli,
1205,bb1e0486-74a9-11ea-bc55-0242ac130003,NULL,A51-06,Pizzo Lucendro,
1206,bb1dc926-74a9-11ea-bc55-0242ac130003,NULL,A51b-09,Bös Fulen,
1207,81546e61-4ec8-11e8-a98e-985fd331b2ee,NULL,A51c-09,Firenband (UR),
1208,815e0b4f-4ec8-11e8-90a0-985fd331b2ee,NULL,A51c-11,Firenband Ost (UR),
1209,e34f0514-7a05-11ec-90d6-0242ac120003,NULL,A55b-20,Blüemlisalphorn,
1210,7fbc1b1e-4ec8-11e8-9301-985fd331b2ee,NULL,A55b-22,Klein Doldenhorn,
1211,e34f082a-7a05-11ec-90d6-0242ac120003,NULL,A55b-23,Schwarzdolde,
1212,df0a7830-7a05-11ec-90d6-0242ac120003,282,A14l-21,Stoc Grond,spescha
1213,e64c560e-7a05-11ec-90d6-0242ac120003,329,E43-02,Puntota,puntota
1214,816696cf-4ec8-11e8-879f-985fd331b2ee,284,A14l-04,Cavardiras W,cavardiras
1215,df0ada1e-7a05-11ec-90d6-0242ac120003,NULL,A51c-12,Griesseggen,
1216,df0ad6ea-7a05-11ec-90d6-0242ac120003,NULL,A51b-02,Grisset,
1217,817abb0f-4ec8-11e8-9dd3-985fd331b2ee,NULL,A50i-22,Sandfirn / Chli Tödi,
1218,df0ad7f8-7a05-11ec-90d6-0242ac120003,NULL,A51b-03,Schijen,
1219,df0ae28e-7a05-11ec-90d6-0242ac120003,NULL,A51c-04,Griessstock,
1220,df0adc8a-7a05-11ec-90d6-0242ac120003,NULL,A51c-13,Wiss Stöckli,
1221,df0addca-7a05-11ec-90d6-0242ac120003,NULL,A51c-16,Chli Schärhorn,
1222,bb1dcaa2-74a9-11ea-bc55-0242ac130003,NULL,A51c-01,Chammliberg,
1223,8163b09e-4ec8-11e8-b963-985fd331b2ee,NULL,A51c-06,Chli Ruchen,
1224,8226b280-4ec8-11e8-bdbd-985fd331b2ee,NULL,A51c-08,Gross Ruchen ,
1225,816621a1-4ec8-11e8-8e22-985fd331b2ee,NULL,A51c-10,Ruchenchälen,
1226,81516121-4ec8-11e8-b0e5-985fd331b2ee,NULL,A51d-03,Windgällenfirn,
1227,815d9621-4ec8-11e8-8d74-985fd331b2ee,NULL,A51d-06,Ruchenfirn,
1228,df0af030-7a05-11ec-90d6-0242ac120003,NULL,A51d-09,Griessbrawen,
1229,df0ae3b0-7a05-11ec-90d6-0242ac120003,NULL,A51d-17,Bänderstock,
1230,8153f930-4ec8-11e8-924f-985fd331b2ee,NULL,A51d-04,Stäfelfirn,
1231,8155cdee-4ec8-11e8-8725-985fd331b2ee,NULL,A51d-32,Staldenlücke,
1232,815817e1-4ec8-11e8-94f6-985fd331b2ee,NULL,A51d-05,Alpgnofer Firn,
1233,816425cf-4ec8-11e8-ba04-985fd331b2ee,NULL,A51d-07,Bocktschingelfirn,
1234,816a1940-4ec8-11e8-b637-985fd331b2ee,NULL,A51d-08,Hälsifirn,
1235,8167cf4f-4ec8-11e8-8e3d-985fd331b2ee,NULL,A51d-11,Hangfirn (Gross Düssi),
